RU;19;995;TransparentCalls;0.93;834;21;35
US;54;592;E-Voice;0.66;652;48;38
GB;72;1741;TransparentCalls;0.91;681;43;50
FR;6;1985;TransparentCalls;0.62;962;90;36
BL;63;1232;E-Voice;0.62;89;66;25
AT;46;417;TransparentCalls;0.89;787;36;13
BG;83;1471;E-Voice;0.79;585;19;46
DK;76;1394;JustPhone;0.74;645;55;41
CA;4;1588;JustPhone;0.83;637;86;39
ES;25;487;E-Voice;0.87;622;77;49
CH;39;1938;JustPhone;0.75;823;77;53
TR;73;199;TransparentCalls;0.76;286;55;48
PE;59;436;JustPhone;0.92;662;10;5
NZ;87;1304;JustPhone;0.67;866;83;33
MC;78;270;E-Voice;0.95;118;18;8
